timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
1685301,0,0,1,1,0,0,0,0
2188364,0,0,1,1,0,0,0,0
2695306,0,0,1,1,0,0,0,0
3202305,0,0,1,1,0,0,0,0
3709307,0,0,1,1,0,0,0,0
4216338,0,0,1,1,0,0,0,0
4723305,0,0,1,1,0,0,0,0
5230308,0,0,1,1,0,0,0,0
5737307,0,0,1,1,0,0,0,0
6244305,0,0,1,1,0,0,0,0
6751305,0,0,1,1,0,0,0,0
7258306,0,0,1,1,0,0,0,0
7765370,0,0,1,1,0,0,0,0
8272305,0,0,1,1,0,0,0,0
8779306,0,0,1,1,0,0,0,0
9286306,0,0,1,1,0,0,0,0
9793306,0,0,1,1,0,0,0,0
10300308,0,0,1,1,0,0,0,0
10807306,0,0,1,1,0,0,0,0
11314309,0,0,1,1,0,0,0,0
11821307,0,0,1,1,0,0,0,0
12328309,0,0,1,1,0,0,0,0
12835308,0,0,1,1,0,0,0,0
13342366,0,0,1,1,0,0,0,0
13849306,0,0,1,1,0,0,0,0
14356306,0,0,1,1,0,0,0,0
14863311,0,0,1,1,0,0,0,0
15370304,0,0,1,1,0,0,0,0
15877306,0,0,1,1,0,0,0,0
16384306,0,0,1,1,0,0,0,0
16891305,0,0,1,1,0,0,0,0
17398305,0,0,1,1,0,0,0,0
17905307,0,0,1,1,0,0,0,0
18412310,0,0,1,1,0,0,0,0
18919365,0,0,1,1,0,0,0,0
19426310,0,0,1,1,0,0,0,0
19933309,0,0,1,1,0,0,0,0
20440305,0,0,1,1,0,0,0,0
20947307,0,0,1,1,0,0,0,0
21454305,0,0,1,1,0,0,0,0
21961307,0,0,1,1,0,0,0,0
22468338,0,0,1,1,0,0,0,0
22975307,0,0,1,1,0,0,0,0
23482305,0,0,1,1,0,0,0,0
23989306,0,0,1,1,0,0,0,0
24496445,0,0,1,1,0,0,0,0
24685349,0,0,1,1,0,0,0,0
25192306,0,0,1,1,0,0,0,0
25688314,0,0,1,1,0,0,0,0
25701521,0,0,1,1,0,0,0,0
26212314,0,0,1,1,0,0,0,0
26720318,0,0,1,1,0,0,0,0
27229317,0,0,1,1,0,0,0,0
27730319,0,0,1,1,0,0,0,0
28238317,0,0,1,1,0,0,0,0
28740316,0,0,1,1,0,0,0,0
29241345,0,0,1,1,0,0,0,0
29742361,0,0,1,1,0,0,0,0
30254065,0,0,1,1,0,0,0,0
30761317,0,0,1,1,0,0,0,0
31265316,0,0,1,1,0,0,0,0
31775363,0,0,1,1,0,0,0,0
32284316,0,0,1,1,0,0,0,0
32793946,0,0,1,1,0,0,0,0
33304318,0,0,1,1,0,0,0,0
33812365,0,0,1,1,0,0,0,0
34323359,0,0,1,1,0,0,0,0
34831343,0,0,1,1,0,0,0,0
35340357,0,0,1,1,0,0,0,0
35850328,0,0,1,1,0,0,0,0
36359327,0,0,1,1,0,0,0,0
36866623,0,0,1,1,0,0,0,0
37375387,0,0,1,1,0,0,0,0
37751371,0,0,1,1,0,0,0,0
38260356,0,0,1,1,0,0,0,0
38770381,0,0,1,1,0,0,0,0
39279376,0,0,1,1,0,0,0,0
39788340,0,0,1,1,0,0,0,0
40299325,0,0,1,1,0,0,0,0
40808360,0,0,1,1,0,0,0,0
41309368,0,0,1,1,0,0,0,0
41688336,0,0,1,1,0,0,0,0
42189359,0,0,1,1,0,0,0,0
42691325,0,0,1,1,0,0,0,0
42825492,1,0,1,1,0,0,0,0
42836339,1,0,1,1,0,0,0,0
43343332,1,0,1,1,0,0,0,0
43850908,1,0,1,1,0,0,0,0
44361370,1,0,1,1,0,0,0,0
44872368,1,0,1,1,0,0,0,0
45381328,1,0,1,1,0,0,0,0
45891328,1,0,1,1,0,0,0,0
46391374,1,0,1,1,0,0,0,0
46901356,1,0,1,1,0,0,0,0
47408381,1,0,1,1,0,0,0,0
47918756,1,0,1,1,0,0,0,0
48427486,1,0,1,1,0,0,0,0
48936329,1,0,1,1,0,0,0,0
49436402,1,0,1,1,0,0,0,0
49947375,1,0,1,1,0,0,0,0
50447495,1,0,1,1,0,0,0,0
50959712,1,0,1,1,0,0,0,0
51468381,1,0,1,1,0,0,0,0
51979835,1,0,1,1,0,0,0,0
52487328,1,0,1,1,0,0,0,0
52995510,1,0,1,1,0,0,0,0
53503373,1,0,1,1,0,0,0,0
54012326,1,0,1,1,0,0,0,0
54518372,1,0,1,1,0,0,0,0
55026328,1,0,1,1,0,0,0,0
55526363,1,0,1,1,0,0,0,0
56035477,1,0,1,1,0,0,0,0
56544329,1,0,1,1,0,0,0,0
57050328,1,0,1,1,0,0,0,0
57559331,1,0,1,1,0,0,0,0
58067368,1,0,1,1,0,0,0,0
58573329,1,0,1,1,0,0,0,0
59080328,1,0,1,1,0,0,0,0
59589333,1,0,1,1,0,0,0,0
60096328,1,0,1,1,0,0,0,0
60604514,1,0,1,1,0,0,0,0
61111496,1,0,1,1,0,0,0,0
61618328,1,0,1,1,0,0,0,0
62124362,1,0,1,1,0,0,0,0
62631882,1,0,1,1,0,0,0,0
63140328,1,0,1,1,0,0,0,0
63648330,1,0,1,1,0,0,0,0
64156337,1,0,1,1,0,0,0,0
64663353,1,0,1,1,0,0,0,0
65170834,1,0,1,1,0,0,0,0
65678336,1,0,1,1,0,0,0,0
66185329,1,0,1,1,0,0,0,0
66695856,1,0,1,1,0,0,0,0
67203473,1,0,1,1,0,0,0,0
67713377,1,0,1,1,0,0,0,0
68220358,1,0,1,1,0,0,0,0
68728361,1,0,1,1,0,0,0,0
69236339,1,0,1,1,0,0,0,0
69736699,1,0,1,1,0,0,0,0
70244399,1,0,1,1,0,0,0,0
70745333,1,0,1,1,0,0,0,0
71254332,1,0,1,1,0,0,0,0
71765329,1,0,1,1,0,0,0,0
72267328,1,0,1,1,0,0,0,0
72771785,1,0,1,1,0,0,0,0
73274329,1,0,1,1,0,0,0,0
73783988,1,0,1,1,0,0,0,0
74293424,1,0,1,1,0,0,0,0
74795333,1,0,1,1,0,0,0,0
75296326,1,0,1,1,0,0,0,0
75799965,1,0,1,1,0,0,0,0
76308330,1,0,1,1,0,0,0,0
76813372,1,0,1,1,0,0,0,0
77316653,1,0,1,1,0,0,0,0
77826327,1,0,1,1,0,0,0,0
78336524,1,0,1,1,0,0,0,0
78844903,1,0,1,1,0,0,0,0
79356460,1,0,1,1,0,0,0,0
79865400,1,0,1,1,0,0,0,0
80373326,1,0,1,1,0,0,0,0
80882327,1,0,1,1,0,0,0,0
81391368,1,0,1,1,0,0,0,0
81900327,1,0,1,1,0,0,0,0
82409355,1,0,1,1,0,0,0,0
82919756,1,0,1,1,0,0,0,0
83425364,1,0,1,1,0,0,0,0
83934364,1,0,1,1,0,0,0,0
84435706,1,0,1,1,0,0,0,0
84945328,1,0,1,1,0,0,0,0
85454328,1,0,1,1,0,0,0,0
85962387,1,0,1,1,0,0,0,0
86469358,1,0,1,1,0,0,0,0
86977377,1,0,1,1,0,0,0,0
87485326,1,0,1,1,0,0,0,0
87992659,1,0,1,1,0,0,0,0
88499328,1,0,1,1,0,0,0,0
89009327,1,0,1,1,0,0,0,0
89518389,1,0,1,1,0,0,0,0
90029429,1,0,1,1,0,0,0,0
90538326,1,0,1,1,0,0,0,0
91046327,1,0,1,1,0,0,0,0
91556533,1,0,1,1,0,0,0,0
92065364,1,0,1,1,0,0,0,0
92573328,1,0,1,1,0,0,0,0
93073357,1,0,1,1,0,0,0,0
93582326,1,0,1,1,0,0,0,0
94092972,1,0,1,1,0,0,0,0
94602331,1,0,1,1,0,0,0,0
95110326,1,0,1,1,0,0,0,0
95621361,1,0,1,1,0,0,0,0
96123326,1,0,1,1,0,0,0,0
96633333,1,0,1,1,0,0,0,0
97141379,1,0,1,1,0,0,0,0
97649422,1,0,1,1,0,0,0,0
98151326,1,0,1,1,0,0,0,0
98653402,1,0,1,1,0,0,0,0
99154600,1,0,1,1,0,0,0,0
99660683,1,0,1,1,0,0,0,0
100164894,1,0,1,1,0,0,0,0
100665331,1,0,1,1,0,0,0,0
101167327,1,0,1,1,0,0,0,0
101669345,1,0,1,1,0,0,0,0
102180857,1,0,1,1,0,0,0,0
102685448,1,0,1,1,0,0,0,0
103196395,1,0,1,1,0,0,0,0
103703333,1,0,1,1,0,0,0,0
104205476,1,0,1,1,0,0,0,0
104707326,1,0,1,1,0,0,0,0
105217511,1,0,1,1,0,0,0,0
105725326,1,0,1,1,0,0,0,0
