timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
26829085,-0.0,-0.0,25.0,0.0
26833307,-0.0,-0.0,25.0,0.0
27833722,-0.0,-0.0,25.0,0.0
28833377,-0.0,-0.0,25.0,0.0
29833675,-0.0,-0.0,25.0,0.0
30829356,-0.0,-0.0,25.0,0.0
31833584,-0.0,-0.0,25.0,0.0
32833651,-0.0,-0.0,25.0,0.0
33829582,-0.0,-0.0,25.0,0.0
34829569,-0.0,-0.0,25.0,0.0
35833977,-0.0,-0.0,25.0,0.0
36834026,-0.0,-0.0,25.0,0.0
37829941,-0.0,-0.0,25.0,0.0
38829435,-0.0,-0.0,25.0,0.0
39834040,-0.0,-0.0,25.0,0.0
40833498,-0.0,-0.0,25.0,0.0
41830206,-0.0,-0.0,25.0,0.0
42834126,-0.0,-0.0,25.0,0.0
43834200,-0.0,-0.0,25.0,0.0
44830150,0.005382668,0.0054919044,25.0,1.0
45830124,0.003375873,0.0034443948,25.0,1.0
46833962,0.0018958789,0.0019343464,25.0,1.0
47834462,0.6460993,0.65921515,25.0,1.0
48829514,1.0726418,1.0944817,25.0,1.0
49834412,1.2709999,1.2969662,25.0,1.0
50834565,1.5068457,1.5377582,25.0,1.0
51830332,1.5311737,1.5627109,25.0,1.0
52834199,1.5716149,1.6041367,25.0,1.0
53834585,1.5710542,1.6037203,25.0,1.0
54834400,1.5701909,1.6029935,25.0,1.0
55830622,2.638229,2.69367,25.0,1.0
56834407,2.594143,2.6490338,25.0,1.0
57834247,2.8524451,2.9132776,25.0,1.0
58830005,2.9751961,3.0392046,25.0,1.0
59830223,2.9767358,3.0412633,25.0,1.0
60834943,2.9984882,3.0640182,25.0,1.0
61834521,3.046796,3.1140008,25.0,1.0
62830020,3.004152,3.0709875,25.0,1.0
63830814,3.0384119,3.1065302,25.0,1.0
64835096,2.818644,2.8823657,25.0,1.0
65830618,2.6717212,2.7325563,25.0,1.0
66831045,2.6099548,2.669795,25.0,1.0
67834756,1.8198054,1.8617909,25.0,1.0
68834710,1.2540562,1.2831117,25.0,1.0
69830462,0.82816046,0.8473898,25.0,1.0
70830701,0.61109084,0.6253087,25.0,1.0
71831222,0.4958551,0.50740504,25.0,1.0
72831237,2.1881268,2.2391343,25.0,1.0
73831119,4.5649643,4.6714134,25.0,1.0
74830698,4.781753,4.893279,25.0,1.0
75835395,5.016258,5.1332374,25.0,1.0
76831300,5.149104,5.2692075,25.0,1.0
77831217,5.104602,5.223672,25.0,1.0
78834873,5.0401797,5.1577773,25.0,1.0
79831009,5.002044,5.118747,25.0,1.0
80831582,4.909505,5.024071,25.0,1.0
81831431,4.836031,4.948889,25.0,1.0
82835484,4.854718,4.967977,25.0,1.0
83831697,4.9133635,5.027933,25.0,1.0
84831829,4.996546,5.113023,25.0,1.0
85835714,5.034733,5.152121,25.0,1.0
86831450,5.047749,5.165436,25.0,1.0
87831708,4.956548,5.0721364,25.0,1.0
88831661,4.8970385,5.011244,25.0,1.0
89835210,4.9460664,5.0614243,25.0,1.0
90831200,4.9582033,5.0739083,25.0,1.0
91832006,4.9259048,5.0408287,25.0,1.0
92831877,4.9572787,5.0729156,25.0,1.0
93831252,4.952318,5.067884,25.0,1.0
94831399,4.955135,5.0707326,25.0,1.0
95832159,4.9342904,5.049418,25.0,1.0
96836069,3.8092813,3.8981535,25.0,1.0
97832063,2.4957163,2.553921,25.0,1.0
98832145,1.8434978,1.8864995,25.0,1.0
99832311,2.3489583,2.4037101,25.0,1.0
100831831,4.813669,4.9259133,25.0,1.0
101831628,4.9225693,5.0372977,25.0,1.0
102832396,4.9901757,5.106508,25.0,1.0
103831837,4.9791994,5.095295,25.0,1.0
104832339,5.0105433,5.12734,25.0,1.0
105832416,5.10267,5.2216125,25.0,1.0
106832800,5.102474,5.221409,25.0,1.0
107832423,4.9064465,5.0208488,25.0,1.0
108832658,4.9231706,5.0379143,25.0,1.0
109832537,4.976586,5.092568,25.0,1.0
110832600,5.049895,5.1676726,25.0,1.0
