timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
1946791,0.0,0.0,0,7,63525,65536,0,3,239
2949240,64.0,63.487278,0,7,1525,65536,0,3,239
3950242,64.0,31.855425,0,7,4050,65536,0,3,239
4951226,68.01465,22.59577,0,7,2377,65536,0,3,239
5952226,72.05176,17.963266,0,7,681,65536,0,3,239
6953257,72.05176,14.375584,0,7,2992,65536,0,3,239
7954225,76.29004,12.687388,0,7,1090,65536,0,3,239
8955225,76.29004,10.876731,0,7,3528,65536,0,3,239
9956225,80.365234,10.026778,0,7,1793,65536,0,3,239
10957226,84.48047,9.369998,0,7,0,65536,0,3,239
11958227,84.48047,8.433658,0,7,2438,65536,0,3,239
12959225,88.57617,8.039179,0,7,682,65536,0,3,239
13960226,88.57617,7.3696413,0,7,3120,65536,0,3,239
14961225,92.6582,7.116572,0,7,1378,65536,0,3,239
15962225,92.6582,6.6085014,0,7,3816,65536,0,3,239
16963226,96.67578,6.435587,0,7,2140,65536,0,3,239
17964225,100.75781,6.2883,0,7,398,65536,0,3,239
18965224,100.75781,5.918554,0,7,2836,65536,0,3,239
19966225,104.84961,5.8168797,0,7,1084,65536,0,3,239
20967225,104.84961,5.510842,0,7,3522,65536,0,3,239
21968227,108.850586,5.435175,0,7,1863,65536,0,3,239
22969226,112.853516,5.3668056,0,7,11,65536,0,3,239
23970226,112.853516,5.122938,0,7,2449,65536,0,3,239
24971255,116.85547,5.0740347,0,7,1039,65536,0,3,239
25972230,120.8916,5.0306387,0,7,543,65536,0,3,239
26973260,140.11035,5.597228,0,8,2048,65536,0,3,239
27974588,164.92871,6.3352675,0,10,3861,65536,0,3,239
28975301,192.0,7.102132,0,13,2901,65536,0,3,239
29976264,220.80176,7.875904,0,18,433,65536,0,3,239
30977277,245.27539,8.447253,0,35,2218,65536,0,3,239
31978265,272.52832,9.073057,0,36,1133,65536,0,3,239
32979268,297.33203,9.579581,0,37,3032,65536,0,3,239
33980274,324.02637,10.113464,0,38,4116,65536,0,3,239
34981273,356.5791,10.792311,0,39,1720,65536,0,3,239
35982593,388.00098,11.397906,0,40,724,65536,0,3,239
36983270,416.43262,11.883779,0,41,3394,65536,0,3,239
37984283,452.12305,12.543948,0,42,336,65536,0,3,239
38985273,485.1953,13.097774,0,43,1348,65536,0,3,239
39987108,520.2832,13.675129,0,43,83,65536,0,3,239
40987271,552.8535,14.158993,0,43,1398,65536,0,3,239
41988272,584.36426,14.591923,0,44,3397,65536,0,3,239
42989270,621.1328,15.131826,0,45,892,65536,0,3,239
43990291,652.1748,15.509829,0,46,1855,65536,0,3,239
44991279,685.31445,15.918991,0,46,1290,65536,0,3,239
45992277,716.458,16.264242,0,48,2945,65536,0,3,239
46993277,740.6533,16.439924,0,49,12086,65536,0,3,239
47994287,768.0,16.676395,0,50,17923,65536,0,3,239
48995278,774.14355,16.452198,0,51,44971,65536,0,3,239
49996270,848.25586,17.651733,0,51,3119,65536,0,3,239
50997276,881.3203,17.965555,0,51,3789,65536,0,3,239
51998300,917.02344,18.319534,0,51,1600,65536,0,3,239
52999273,950.6738,18.61945,0,51,1436,65536,0,3,239
54000272,984.4336,18.90992,0,51,1066,65536,0,3,239
55001274,1017.9238,19.184353,0,51,1256,65536,0,3,239
56002408,1052.5059,19.46877,0,51,792,65536,0,3,239
57003375,1085.9355,19.721975,0,52,2184,65536,0,3,239
58004292,1120.3213,19.98321,0,53,1943,65536,0,3,239
59005276,1156.0713,20.259165,0,53,1406,65536,0,3,239
60006278,1188.4766,20.467997,0,53,3934,65536,0,3,239
61007281,1224.2129,20.726145,0,53,3421,65536,0,3,239
62008265,1261.2861,20.997953,0,56,1705,65536,0,3,239
63009273,1297.0801,21.239893,0,58,2711,65536,0,3,239
64010364,1334.1875,21.495163,0,58,444,65536,0,3,239
65011735,1368.7256,21.701496,0,58,1033,65536,0,3,239
66012281,1401.4971,21.874086,0,58,3066,65536,0,3,239
67013283,1437.2793,22.087482,0,58,3306,65536,0,3,239
68014281,1476.001,22.338905,0,58,206,65536,0,3,239
69015308,1509.4004,22.503462,0,60,2116,65536,0,3,239
70016276,1544.1084,22.682423,0,61,3646,65536,0,3,239
71017276,1580.9043,22.886412,0,61,3565,65536,0,3,239
72018284,1616.6836,23.070065,0,62,3650,65536,0,3,239
73019536,1653.3428,23.260843,0,62,2458,65536,0,3,239
74020275,1688.6201,23.427317,0,62,1594,65536,0,3,239
75021276,1721.4307,23.555391,0,63,3607,65536,0,3,239
76022277,1756.5166,23.710722,0,63,3970,65536,0,3,239
77023370,1792.0,23.867172,0,63,2949,65536,0,3,239
78024675,1828.8691,24.037653,0,63,1346,65536,0,3,239
79025275,1864.3486,24.1859,0,63,656,65536,0,3,239
80026275,1897.875,24.305208,0,63,2666,65536,0,3,239
81028180,1932.7354,24.438087,0,63,2716,65536,0,3,239
82028503,1970.1357,24.59984,0,64,289,65536,0,3,239
83029274,2004.5586,24.720745,0,64,561,65536,0,3,239
84030280,2037.3076,24.818245,0,64,1810,65536,0,3,239
85031276,2072.4922,24.942705,0,64,975,65536,0,3,239
86032279,2105.2686,25.035566,0,64,3213,65536,0,3,239
87033279,2140.3818,25.153704,0,64,2368,65536,0,3,239
88034276,2176.0,25.27496,0,64,886,65536,0,3,239
89035265,2208.7627,25.360647,0,65,2688,65536,0,3,239
90036416,2244.0283,25.472752,0,65,1794,65536,0,3,239
91037276,2277.4863,25.56213,0,66,2833,65536,0,3,239
92038280,2312.123,25.662565,0,66,3696,65536,0,3,239
93039308,2349.1455,25.786976,0,66,1906,65536,0,3,239
94040451,2384.1309,25.886528,0,67,1162,65536,0,3,239
95041272,2417.3115,25.96465,0,68,2986,65536,0,3,239
96042272,2452.3467,26.060764,0,69,2601,65536,0,3,239
97043264,2485.67,26.136858,0,70,3919,65536,0,3,239
98044312,2524.8047,26.271822,0,70,253,65536,0,3,239
99045279,2557.1738,26.33435,0,70,2774,65536,0,3,239
100046275,2592.831,26.429111,0,70,2312,65536,0,3,239
101047270,2628.001,26.517046,0,70,2059,65536,0,3,239
102048281,2661.209,26.583614,0,70,4145,65536,0,3,239
103049312,2700.0566,26.70464,0,71,436,65536,0,3,239
104050272,2732.4404,26.760006,0,72,2447,65536,0,3,239
105051285,2768.957,26.854366,0,72,1800,65536,0,3,239
106052281,2802.2031,26.915503,0,72,4187,65536,0,3,239
107053295,2840.413,27.022697,0,72,631,65536,0,3,239
108054289,2872.9014,27.07395,0,72,2474,65536,0,3,239
109055279,2908.208,27.15056,0,72,2271,65536,0,3,239
110056270,2944.0,27.230238,0,73,1012,65536,0,3,239
111057831,2976.4453,27.277643,0,73,3466,65536,0,3,239
112058280,3012.1953,27.354471,0,73,2489,65536,0,3,239
113059277,3045.2988,27.405964,0,73,3482,65536,0,3,239
114060303,3080.1074,27.471739,0,73,3399,65536,0,3,239
115061273,3117.8975,27.562716,0,73,353,65536,0,3,239
116062274,3152.587,27.624924,0,74,1174,65536,0,3,239
117063275,3185.331,27.66915,0,74,2845,65536,0,3,239
118064278,3220.3057,27.731823,0,74,2796,65536,0,3,239
119067136,3257.5273,27.81217,0,75,303,65536,0,3,239
120069823,3288.9287,27.84192,0,75,4013,65536,0,3,239
121071536,3325.5674,27.915363,0,75,1809,65536,0,3,239
122071782,3361.3848,27.981083,0,77,1463,65536,0,3,239
123072787,3396.1748,28.037062,0,78,728,65536,0,3,239
124074217,3429.3457,28.078768,0,78,1392,65536,0,3,239
125074778,3464.287,28.134375,0,78,762,65536,0,3,239
126075778,3497.4697,28.174814,0,79,2707,65536,0,3,239
127076777,3532.5068,28.229427,0,79,2607,65536,0,3,239
128077798,3565.497,28.266943,0,79,4262,65536,0,3,239
129078824,3604.3916,28.350306,0,80,625,65536,0,3,239
130079815,3637.0625,28.383804,0,80,2814,65536,0,3,239
131080786,3672.4639,28.437933,0,81,1974,65536,0,3,239
132081891,3709.579,28.504366,0,81,683,65536,0,3,239
133082783,3745.004,28.556946,0,81,459,65536,0,3,239
134083783,3776.0,28.575188,0,81,4082,65536,0,3,239
135084787,3813.2002,28.63975,0,81,1650,65536,0,3,239
136085787,3848.0518,28.685844,0,81,1334,65536,0,3,239
137086784,3880.3408,28.712294,0,81,3761,65536,0,3,239
138087772,3916.1963,28.764553,0,82,2996,65536,0,3,239
139088779,3949.2793,28.795828,0,82,4060,65536,0,3,239
140089787,3984.505,28.842161,0,82,3831,65536,0,3,239
141092082,4022.0771,28.904425,0,83,1567,65536,0,3,239
142095272,4056.4053,28.942463,0,83,2156,65536,0,3,239
143096272,4092.955,28.996155,0,84,50,65536,0,3,239
144097278,4124.5225,29.014036,0,84,3613,65536,0,3,239
145100270,4160.0,29.058578,0,84,3515,65536,0,3,239
146100433,4196.76,29.111967,0,85,2114,65536,0,3,239
147103792,4232.158,29.1546,0,86,1803,65536,0,3,239
148104788,4264.8193,29.178392,0,87,3899,65536,0,3,239
149105787,4300.3545,29.221388,0,87,3377,65536,0,3,239
150106850,4337.9014,29.27737,0,87,1170,65536,0,3,239
151107782,4372.798,29.314856,0,87,1527,65536,0,3,239
152108781,4405.3564,29.336262,0,88,4208,65536,0,3,239
153109800,4440.625,29.375307,0,88,3944,65536,0,3,239
154110793,4477.5635,29.424816,0,88,2120,65536,0,3,239
155111819,4513.205,29.465208,0,89,1159,65536,0,3,239
156112786,4548.0557,29.499954,0,90,823,65536,0,3,239
157113781,4581.6797,29.526342,0,91,2349,65536,0,3,239
158115028,4616.169,29.557886,0,92,2303,65536,0,3,239
159115777,4648.6963,29.576637,0,93,3836,65536,0,3,239
160116784,4684.1562,29.613644,0,93,2643,65536,0,3,239
161117796,4716.866,29.632906,0,94,4004,65536,0,3,239
162118811,4752.3945,29.669525,0,96,3264,65536,0,3,239
163119792,4789.1143,29.713087,0,97,1344,65536,0,3,239
164120786,4824.7324,29.749315,0,98,532,65536,0,3,239
165121777,4858.296,29.772507,0,98,1224,65536,0,3,239
166122771,4892.798,29.801134,0,98,1215,65536,0,3,239
167123818,4928.0,29.833641,0,98,322,65536,0,3,239
168124784,4960.784,29.851225,0,99,2222,65536,0,3,239
169125782,4996.0146,29.883219,0,100,1907,65536,0,3,239
170126796,5028.829,29.900469,0,100,3916,65536,0,3,239
171127782,5064.077,29.931902,0,100,3443,65536,0,3,239
172129500,5101.1543,29.973583,0,101,1488,65536,0,3,239
173129784,5136.575,30.005352,0,101,1484,65536,0,3,239
174130785,5170.79,30.029627,0,101,1952,65536,0,3,239
175132694,5204.8135,30.052353,0,102,3096,65536,0,3,239
176132797,5241.456,30.090172,0,102,2105,65536,0,3,239
177133799,5276.4766,30.11814,0,102,2345,65536,0,3,239
178134781,5312.0,30.148651,0,102,1400,65536,0,3,239
179135829,5345.463,30.16718,0,102,3304,65536,0,3,239
180136802,5380.075,30.191957,0,102,4320,65536,0,3,239
181137782,5417.121,30.230042,0,102,2196,65536,0,3,239
182138772,5452.3594,30.257668,0,102,2092,65536,0,3,239
183140612,5485.164,30.271418,0,102,3681,65536,0,3,239
184140781,5520.5684,30.29956,0,102,3548,65536,0,3,239
185141806,5557.5264,30.335737,0,102,934,65536,0,3,239
186142777,5592.7764,30.362253,0,102,1119,65536,0,3,239
187143876,5626.5244,30.380356,0,102,1995,65536,0,3,239
188144786,5660.6387,30.400263,0,103,2073,65536,0,3,239
189145780,5696.0,30.426601,0,104,1094,65536,0,3,239
190146781,5729.915,30.444973,0,104,2656,65536,0,3,239
191147841,5764.0195,30.464146,0,104,3617,65536,0,3,239
192148784,5800.8574,30.497505,0,105,1756,65536,0,3,239
193149792,5836.675,30.525164,0,106,363,65536,0,3,239
194150778,5869.2373,30.535606,0,107,2120,65536,0,3,239
195151785,5904.3496,30.559135,0,107,1552,65536,0,3,239
196152791,5937.6465,30.573074,0,110,3483,65536,0,3,239
197153792,5972.997,30.597391,0,110,3022,65536,0,3,239
198154780,6009.71,30.628405,0,110,1499,65536,0,3,239
199155902,6044.5195,30.649431,0,110,1981,65536,0,3,239
200157064,6080.0,30.673624,0,110,1227,65536,0,3,239
201157785,6112.79,30.684135,0,110,2873,65536,0,3,239
202158784,6148.008,30.706629,0,113,2041,65536,0,3,239
203159776,6185.384,30.739622,0,113,249,65536,0,3,239
204161197,6220.04,30.758774,0,114,442,65536,0,3,239
205161786,6252.74,30.768236,0,115,2120,65536,0,3,239
206162783,6288.1787,30.790955,0,115,1732,65536,0,3,239
207163810,6321.9424,30.805288,0,115,2812,65536,0,3,239
208165803,6356.451,30.822948,0,115,3686,65536,0,3,239
209169951,6393.325,30.85153,0,115,1002,65536,0,3,239
210170278,6424.669,30.853846,0,115,3976,65536,0,3,239
211171275,6461.497,30.882252,0,116,1168,65536,0,3,239
212172283,6492.9717,30.88492,0,116,3959,65536,0,3,239
213174183,6528.0,30.904259,0,117,3751,65536,0,3,239
214174277,6564.999,30.932962,0,118,1114,65536,0,3,239
215175274,6600.043,30.952097,0,118,270,65536,0,3,239
216176283,6632.712,30.959965,0,118,2076,65536,0,3,239
217178014,6668.198,30.980747,0,119,1943,65536,0,3,239
218178290,6701.6504,30.992136,0,119,3999,65536,0,3,239
219179280,6736.3623,31.009119,0,119,4138,65536,0,3,239
220180313,6772.8457,31.034054,0,119,3644,65536,0,3,239
221181300,6808.3027,31.05409,0,119,3697,65536,0,3,239
222182287,6845.498,31.081833,0,120,2110,65536,0,3,239
223183275,6880.953,31.101463,0,120,2745,65536,0,3,239
224184275,6916.078,31.119427,0,121,3101,65536,0,3,239
225185301,6950.7744,31.135305,0,122,3713,65536,0,3,239
226186275,6988.331,31.163807,0,122,1656,65536,0,3,239
227187273,7024.9385,31.187834,0,122,961,65536,0,3,239
228188287,7060.796,31.208336,0,122,782,65536,0,3,239
229189341,7098.077,31.234913,0,122,447,65536,0,3,239
230190468,7132.626,31.249279,0,122,1380,65536,0,3,239
231191280,7168.0,31.26716,0,124,922,65536,0,3,239
232192277,7205.0596,31.292183,0,124,124,65536,0,3,239
233193310,7240.2266,31.308798,0,124,1504,65536,0,3,239
234194279,7277.793,31.335608,0,124,307,65536,0,3,239
235195276,7312.3643,31.349346,0,124,2317,65536,0,3,239
236196271,7348.9004,31.371357,0,125,1255,65536,0,3,239
237197281,7384.9727,31.391205,0,125,1732,65536,0,3,239
238198658,7421.9053,31.414476,0,127,364,65536,0,3,239
239199286,7456.63,31.428343,0,127,1287,65536,0,3,239
240200278,7492.0303,31.444885,0,127,2478,65536,0,3,239
241201278,7528.658,31.466417,0,127,1955,65536,0,3,239
242202586,7564.331,31.483751,0,127,3227,65536,0,3,239
243203316,7601.786,31.50841,0,128,1924,65536,0,3,239
244204322,7637.217,31.524467,0,128,2007,65536,0,3,239
245205276,7673.7637,31.544989,0,129,1924,65536,0,3,239
246206977,7709.3047,31.56113,0,129,2251,65536,0,3,239
247207272,7744.0,31.573868,0,130,3924,65536,0,3,239
248208276,7780.7803,31.594881,0,130,3122,65536,0,3,239
249209273,7816.3496,31.610828,0,130,2480,65536,0,3,239
250210271,7853.1807,31.631727,0,131,1436,65536,0,3,239
251211274,7888.335,31.645731,0,131,2522,65536,0,3,239
252212283,7926.0654,31.669918,0,131,278,65536,0,3,239
253213280,7960.3574,31.680225,0,132,1933,65536,0,3,239
254214286,7998.249,31.704721,0,132,403,65536,0,3,239
255215286,8032.658,31.715275,0,133,3109,65536,0,3,239
256216263,8072.1914,31.745897,0,133,0,65536,0,3,239
