timestamp,safety_switch_available,safety_off,override_available,override_enabled
1837570,1,1,0,0
2851570,1,1,0,0
3865567,1,1,0,0
4879567,1,1,0,0
5893567,1,1,0,0
6907572,1,1,0,0
7921567,1,1,0,0
8935567,1,1,0,0
9949571,1,1,0,0
10963567,1,1,0,0
11977567,1,1,0,0
12991567,1,1,0,0
14005566,1,1,0,0
15019567,1,1,0,0
16033566,1,1,0,0
17047572,1,1,0,0
18061572,1,1,0,0
19075567,1,1,0,0
20089567,1,1,0,0
21103567,1,1,0,0
22117567,1,1,0,0
23131566,1,1,0,0
24145571,1,1,0,0
25159569,1,1,0,0
26161973,1,1,0,0
27178365,1,1,0,0
28190624,1,1,0,0
29198225,1,1,0,0
30217749,1,1,0,0
31234386,1,1,0,0
32254516,1,1,0,0
33269095,1,1,0,0
34282838,1,1,0,0
35294978,1,1,0,0
36302737,1,1,0,0
37318623,1,1,0,0
38322648,1,1,0,0
39342567,1,1,0,0
40351227,1,1,0,0
41355739,1,1,0,0
42362800,1,1,0,0
43363176,1,1,0,0
44378023,1,1,0,0
45394886,1,1,0,0
46410852,1,1,0,0
47427657,1,1,0,0
48443075,1,1,0,0
49459409,1,1,0,0
50479197,1,1,0,0
51491002,1,1,0,0
52499204,1,1,0,0
53518840,1,1,0,0
54523175,1,1,0,0
55539510,1,1,0,0
56550684,1,1,0,0
57567168,1,1,0,0
58571182,1,1,0,0
59579261,1,1,0,0
60591484,1,1,0,0
61606239,1,1,0,0
62627347,1,1,0,0
63639922,1,1,0,0
64659372,1,1,0,0
65672335,1,1,0,0
66691401,1,1,0,0
67711725,1,1,0,0
68716736,1,1,0,0
69736576,1,1,0,0
70739620,1,1,0,0
71748581,1,1,0,0
72751152,1,1,0,0
73763800,1,1,0,0
74789521,1,1,0,0
75804796,1,1,0,0
76820546,1,1,0,0
77824608,1,1,0,0
78831389,1,1,0,0
79848740,1,1,0,0
80856916,1,1,0,0
81871774,1,1,0,0
82872045,1,1,0,0
83876663,1,1,0,0
84884568,1,1,0,0
85896496,1,1,0,0
