timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1830426,800000.0,1.0,0.0,0.0,8,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2586411,800000.0,1.0,0.0,0.0,22,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3345413,800000.0,1.0,695.9875,0.0,43,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4104415,800000.0,1.0,481.1176,0.0,62,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4863411,800000.0,1.0,471.07388,0.0,83,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5622415,800000.0,1.0,471.07388,0.0,99,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7140413,800000.0,1.0,471.0579,0.0,139,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7899621,800000.0,1.0,471.0579,0.0,159,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8658480,800000.0,1.0,471.0579,0.0,175,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10176415,800000.0,1.0,471.05975,0.0,214,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10935451,800000.0,1.0,471.0579,0.0,235,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11694415,800000.0,1.0,471.0579,0.0,254,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13212558,800000.0,1.0,481.0552,0.0,290,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13971477,800000.0,1.0,471.05084,0.0,311,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14730417,800000.0,1.0,471.05084,0.0,331,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16248413,800000.0,1.0,471.08563,0.0,367,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17007408,800000.0,1.0,470.9869,0.0,386,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17766413,800000.0,1.0,470.9869,0.0,406,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18525475,800000.0,1.0,471.13077,0.0,423,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20043416,800000.0,1.0,471.0579,0.0,463,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20802412,800000.0,1.0,471.0579,0.0,482,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21561414,800000.0,1.0,471.0579,0.0,499,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23079562,800000.0,1.0,481.00674,0.0,539,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23838445,800000.0,1.0,481.00674,0.0,560,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24597478,800000.0,1.0,471.00433,0.0,574,0,0.0,0,0,0,0,0,0.0,3,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26106468,800000.0,1.0,1101.8981,0.0,657,0,3371.6282,111,0,0,0,0,0.0,3,5,0,0,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26857536,800000.0,1.0,1101.8981,0.0,919,0,3371.6282,296,0,0,0,0,0.0,3,5,0,0,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27610487,800000.0,1.0,20933.066,0.0,1207,0,18133.865,488,0,0,0,0,0.0,3,5,0,0,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29114105,800000.0,1.0,33980.656,0.0,1833,0,18367.814,867,0,0,0,0,0.0,3,5,0,0,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29730067,800000.0,1.0,33980.656,0.0,2079,0,18367.814,1011,0,0,0,0,0.0,3,5,0,0,1,1,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31067453,800000.0,1.0,59187.19,0.0,3376,0,16394.93,1335,253,0,0,0,0.1895131,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32056503,800000.0,1.0,34150.285,0.0,3789,0,18574.996,1587,253,0,0,0,0.1594203,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33056571,800000.0,1.0,33634.094,0.0,4197,0,18297.736,1839,253,0,0,0,0.13757476,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34055560,800000.0,1.0,34395.26,0.0,4668,0,15992.892,2059,253,0,0,0,0.122875184,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
