timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
24682588,0.0,0.0,97.0,1.0,0.0,0.0,0.0,176,1,0,255,0,0,1
25687201,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,1,0,255,0,0,1
41679835,0.0,0.0,61.0,4.0,4.0,0.0,0.0,176,1,0,255,190,1,1
42824852,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,255,190,0,1
42831419,-2147483648.0,-2147483648.0,0.0,2.0,nan,nan,nan,530,1,1,1,1,0,0
42832144,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
268386220,0.0,0.0,97.0,1.0,0.0,0.0,0.0,176,1,0,255,0,0,1
268386300,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,1,0,255,0,0,1
268396754,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
268396758,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,1,1,0,0
269387188,0.0,0.0,1.0,0.0,0.0,0.0,0.0,246,1,0,255,0,0,1
