timestamp,speed_xy,speed_up,speed_down,want_takeoff
38146560,5.0,3.0,1.0,0
38166512,5.0,3.0,1.0,0
39151033,5.0,3.0,1.0,0
40146732,5.0,3.0,1.0,0
41146382,5.0,3.0,1.0,0
42146702,5.0,3.0,1.0,0
43146780,5.0,3.0,1.0,1
44150893,5.0,3.0,1.0,1
45146874,5.0,3.0,1.0,1
46146943,5.0,3.0,1.0,1
47147263,5.0,3.0,1.0,1
48147341,5.0,3.0,1.0,1
49143088,5.0,3.0,1.0,1
50143374,5.0,3.0,1.0,1
51142859,5.0,3.0,1.0,1
52142746,5.0,3.0,1.0,1
53146603,5.0,3.0,1.0,1
54147597,5.0,3.0,1.0,1
55147099,5.0,3.0,1.0,1
56143348,5.0,3.0,1.0,1
57143684,5.0,3.0,1.0,1
58143549,5.0,3.0,1.0,1
59143367,5.0,3.0,1.0,1
60143572,5.0,3.0,1.0,1
61147262,5.0,3.0,1.0,1
62147747,5.0,3.0,1.0,1
63151331,5.0,3.0,1.0,1
64147522,5.0,3.0,1.0,1
65156010,5.0,3.0,1.0,1
66147820,5.0,3.0,1.0,1
67151675,5.0,3.0,1.0,1
68147595,5.0,3.0,1.0,1
69148136,5.0,3.0,1.0,1
70151711,5.0,3.0,1.0,1
71132448,5.0,3.0,1.0,1
72147321,5.0,3.0,1.0,0
73153514,5.0,3.0,1.0,0
74157584,5.0,3.0,1.0,0
75148026,5.0,3.0,1.0,0
76153582,5.0,3.0,1.0,0
77148498,5.0,3.0,1.0,0
78148371,5.0,3.0,1.0,0
79148380,5.0,3.0,1.0,0
80147944,5.0,3.0,1.0,0
81148716,5.0,3.0,1.0,0
82148152,5.0,3.0,1.0,0
83152431,5.0,3.0,1.0,0
84148184,5.0,3.0,1.0,0
85148428,5.0,3.0,1.0,0
86147908,5.0,3.0,1.0,0
87157190,5.0,3.0,1.0,0
88148405,5.0,3.0,1.0,0
89152473,5.0,3.0,1.0,0
90148740,5.0,3.0,1.0,0
91149480,5.0,3.0,1.0,0
92148996,5.0,3.0,1.0,0
93148305,5.0,3.0,1.0,0
94157075,5.0,3.0,1.0,0
95152875,5.0,3.0,1.0,0
96148741,5.0,3.0,1.0,0
97152656,5.0,3.0,1.0,0
98149139,5.0,3.0,1.0,0
99154056,5.0,3.0,1.0,0
100150219,5.0,3.0,1.0,0
101149510,5.0,3.0,1.0,0
102156804,5.0,3.0,1.0,0
103158370,5.0,3.0,1.0,0
104149228,5.0,3.0,1.0,0
105152724,5.0,3.0,1.0,0
106157006,5.0,3.0,1.0,0
107157394,5.0,3.0,1.0,0
108149168,5.0,3.0,1.0,0
109153267,5.0,3.0,1.0,0
110149358,5.0,3.0,1.0,0
111149137,5.0,3.0,1.0,0
112149454,5.0,3.0,1.0,0
113145867,5.0,3.0,1.0,0
114148820,5.0,3.0,1.0,0
115153271,5.0,3.0,1.0,0
116146900,5.0,3.0,1.0,0
117150100,5.0,3.0,1.0,0
118149543,5.0,3.0,1.0,0
119154991,5.0,3.0,1.0,0
120147047,5.0,3.0,1.0,0
121153807,5.0,3.0,1.0,0
122150813,5.0,3.0,1.0,0
123151393,5.0,3.0,1.0,0
124150241,5.0,3.0,1.0,0
125146180,5.0,3.0,1.0,0
126146055,5.0,3.0,1.0,0
127154874,5.0,3.0,1.0,0
128151578,5.0,3.0,1.0,0
129155823,5.0,3.0,1.0,0
130150634,5.0,3.0,1.0,0
131145950,5.0,3.0,1.0,0
132150020,5.0,3.0,1.0,0
133149600,5.0,3.0,1.0,0
134146951,5.0,3.0,1.0,0
135146495,5.0,3.0,1.0,0
136151652,5.0,3.0,1.0,0
137150577,5.0,3.0,1.0,0
138145971,5.0,3.0,1.0,0
139146079,5.0,3.0,1.0,0
140147037,5.0,3.0,1.0,0
141150349,5.0,3.0,1.0,0
142154701,5.0,3.0,1.0,0
143150719,5.0,3.0,1.0,0
144147983,5.0,3.0,1.0,0
145148105,5.0,3.0,1.0,0
146158057,5.0,3.0,1.0,0
147156271,5.0,3.0,1.0,0
148150217,5.0,3.0,1.0,0
149150834,5.0,3.0,1.0,0
150146770,5.0,3.0,1.0,0
151151430,5.0,3.0,1.0,0
152147125,5.0,3.0,1.0,0
153150438,5.0,3.0,1.0,0
154150484,5.0,3.0,1.0,0
155151092,5.0,3.0,1.0,0
156150715,5.0,3.0,1.0,0
157155147,5.0,3.0,1.0,0
158151448,5.0,3.0,1.0,0
159151906,5.0,3.0,1.0,0
160147322,5.0,3.0,1.0,0
161147505,5.0,3.0,1.0,0
162151231,5.0,3.0,1.0,0
163147303,5.0,3.0,1.0,0
164151448,5.0,3.0,1.0,0
165151167,5.0,3.0,1.0,0
166147197,5.0,3.0,1.0,0
167151321,5.0,3.0,1.0,0
168151506,5.0,3.0,1.0,0
169147749,5.0,3.0,1.0,0
170147644,5.0,3.0,1.0,0
171155722,5.0,3.0,1.0,0
172147750,5.0,3.0,1.0,0
173149420,5.0,3.0,1.0,0
174151910,5.0,3.0,1.0,0
175151929,5.0,3.0,1.0,0
176155913,5.0,3.0,1.0,0
177153410,5.0,3.0,1.0,0
178157162,5.0,3.0,1.0,0
179151991,5.0,3.0,1.0,0
180152002,5.0,3.0,1.0,0
181152394,5.0,3.0,1.0,0
182152195,5.0,3.0,1.0,0
183148323,5.0,3.0,1.0,0
184136432,5.0,3.0,1.0,0
185152000,5.0,3.0,1.0,0
186155992,5.0,3.0,1.0,0
187148573,5.0,3.0,1.0,0
188152832,5.0,3.0,1.0,0
189148938,5.0,3.0,1.0,0
190152616,5.0,3.0,1.0,0
191152504,5.0,3.0,1.0,0
192156254,5.0,3.0,1.0,0
193149087,5.0,3.0,1.0,0
194157179,5.0,3.0,1.0,0
195152955,5.0,3.0,1.0,0
196149385,5.0,3.0,1.0,0
197153365,5.0,3.0,1.0,0
198156717,5.0,3.0,1.0,0
199152607,5.0,3.0,1.0,0
200149148,5.0,3.0,1.0,0
201153197,5.0,3.0,1.0,0
202152737,5.0,3.0,1.0,0
203148913,5.0,3.0,1.0,0
204153365,5.0,3.0,1.0,0
205153256,5.0,3.0,1.0,0
206157155,5.0,3.0,1.0,0
207153095,5.0,3.0,1.0,0
208148978,5.0,3.0,1.0,0
209149240,5.0,3.0,1.0,0
210153140,5.0,3.0,1.0,0
211149077,5.0,3.0,1.0,0
212152880,5.0,3.0,1.0,0
213148826,5.0,3.0,1.0,0
214133187,5.0,3.0,1.0,0
215149206,5.0,3.0,1.0,0
216153156,5.0,3.0,1.0,0
217149699,5.0,3.0,1.0,0
218149395,5.0,3.0,1.0,0
219149717,5.0,3.0,1.0,0
220153448,5.0,3.0,1.0,0
221129526,5.0,3.0,1.0,0
222153644,5.0,3.0,1.0,0
223149848,5.0,3.0,1.0,0
224133608,5.0,3.0,1.0,0
225153062,5.0,3.0,1.0,0
226154108,5.0,3.0,1.0,0
227149880,5.0,3.0,1.0,0
228149640,5.0,3.0,1.0,0
229150095,5.0,3.0,1.0,0
230141351,5.0,3.0,1.0,0
231141933,5.0,3.0,1.0,0
232141532,5.0,3.0,1.0,0
233141595,5.0,3.0,1.0,0
234142289,5.0,3.0,1.0,0
235142333,5.0,3.0,1.0,0
236141680,5.0,3.0,1.0,0
237141737,5.0,3.0,1.0,0
238142066,5.0,3.0,1.0,0
239150270,5.0,3.0,1.0,0
240149756,5.0,3.0,1.0,0
241153621,5.0,3.0,1.0,0
242150601,5.0,3.0,1.0,0
243150004,5.0,3.0,1.0,0
244146082,5.0,3.0,1.0,0
245142941,5.0,3.0,1.0,0
246150626,5.0,3.0,1.0,0
247146914,5.0,3.0,1.0,0
248142504,5.0,3.0,1.0,0
249143293,5.0,3.0,1.0,0
250142937,5.0,3.0,1.0,0
251143217,5.0,3.0,1.0,0
252143367,5.0,3.0,1.0,0
253151222,5.0,3.0,1.0,0
254143025,5.0,3.0,1.0,0
255151604,5.0,3.0,1.0,0
256143131,5.0,3.0,1.0,0
257142472,5.0,3.0,1.0,0
258143070,5.0,3.0,1.0,0
259143122,5.0,3.0,1.0,0
260143031,5.0,3.0,1.0,0
261151519,5.0,3.0,1.0,0
262143206,5.0,3.0,1.0,0
263144353,5.0,3.0,1.0,0
264143167,5.0,3.0,1.0,0
265143285,5.0,3.0,1.0,0
266150718,5.0,3.0,1.0,0
267143346,5.0,3.0,1.0,0
268147352,5.0,3.0,1.0,0
269147546,5.0,3.0,1.0,0
