timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
1685297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2188355,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2695297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3202296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3709297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4216330,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4723296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5230299,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5737298,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6244296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6751296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7258297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7765361,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8272296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8779297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
9286296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
9793296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10300299,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10807296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
11314300,0,0,0,1,0,0,1,1,0,0,0,0,0,0
11821298,0,0,0,1,0,0,1,1,0,0,0,0,0,0
12328300,0,0,0,1,0,0,1,1,0,0,0,0,0,0
12835299,0,0,0,1,0,0,1,1,0,0,0,0,0,0
13342357,0,0,0,1,0,0,1,1,0,0,0,0,0,0
13849297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
14356297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
14863302,0,0,0,1,0,0,1,1,0,0,0,0,0,0
15370296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
15877297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
16384297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
16891296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
17398296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
17905298,0,0,0,1,0,0,1,1,0,0,0,0,0,0
18412300,0,0,0,1,0,0,1,1,0,0,0,0,0,0
18919356,0,0,0,1,0,0,1,1,0,0,0,0,0,0
19426301,0,0,0,1,0,0,1,1,0,0,0,0,0,0
19933300,0,0,0,1,0,0,1,1,0,0,0,0,0,0
20440296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
20947298,0,0,0,1,0,0,1,1,0,0,0,0,0,0
21454296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
21961298,0,0,0,1,0,0,1,1,0,0,0,0,0,0
22468329,0,0,0,1,0,0,1,1,0,0,0,0,0,0
22975297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
23482296,0,0,0,1,0,0,1,1,0,0,0,0,0,0
23989297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
24496432,0,0,0,1,0,0,1,1,0,0,0,0,0,0
24685341,0,0,0,1,0,0,1,1,0,0,0,0,0,0
25192297,0,0,0,1,0,0,1,1,0,0,0,0,0,0
25688305,0,0,0,1,0,0,1,1,0,0,0,0,0,0
25701512,0,0,0,1,0,0,1,1,0,0,0,0,0,0
26212305,0,0,0,1,0,0,1,1,0,0,0,0,0,0
26720308,0,0,0,1,0,0,1,1,0,0,0,0,0,0
27229307,0,0,0,1,0,0,1,1,0,0,0,0,0,0
27730310,0,0,0,1,0,0,1,1,0,0,0,0,0,0
28238307,0,0,0,1,0,0,1,1,0,0,0,0,0,0
28740307,0,0,0,1,0,0,1,1,0,0,0,0,0,0
29241336,0,0,0,1,0,0,1,1,0,0,0,0,0,0
29742351,0,0,0,1,0,0,1,1,0,0,0,0,0,0
30254059,0,0,0,1,0,0,1,1,0,0,0,0,0,0
30761307,0,0,0,1,0,0,1,1,0,0,0,0,0,0
31265307,0,0,0,1,0,0,1,1,0,0,0,0,0,0
31775354,0,0,0,1,0,0,1,1,0,0,0,0,0,0
32284307,0,0,0,1,0,0,1,1,0,0,0,0,0,0
32793937,0,0,0,1,0,0,1,1,0,0,0,0,0,0
33304308,0,0,0,1,0,0,1,1,0,0,0,0,0,0
33812355,0,0,0,1,0,0,1,1,0,0,0,0,0,0
34323349,0,0,0,1,0,0,1,1,0,0,0,0,0,0
34831334,0,0,0,1,0,0,1,1,0,0,0,0,0,0
35340348,0,0,0,1,0,0,1,1,0,0,0,0,0,0
35850319,0,0,0,1,0,0,1,1,0,0,0,0,0,0
36359318,0,0,0,1,0,0,1,1,0,0,0,0,0,0
36866616,0,0,0,1,0,0,1,1,0,0,0,0,0,0
37375378,0,0,0,1,0,0,1,1,0,0,0,0,0,0
37751363,0,0,1,0,1,0,1,1,0,1,1,1,1,0
38260346,0,0,1,0,1,0,1,1,0,1,1,1,1,0
