timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
26992930,1646740264375000,401540306,1162593689,49655,49655,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.01,0.01,0.08,0.0,0,nan,nan,3,0,1,10,0
27092917,1646740264475000,401540306,1162593690,49536,49536,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.02,-0.04,0.06,0.0,0,nan,nan,3,0,1,10,0
27493312,1646740264875000,401540303,1162593686,49629,49629,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,0.0,0.06,0.0,0.0,0,nan,nan,3,0,1,10,0
27993486,1646740265375000,401540299,1162593690,49746,49746,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.04,0.02,-0.06,0.0,0,nan,nan,3,0,1,10,0
28493221,1646740265875000,401540301,1162593678,49677,49677,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.02,0.0,0.07,0.0,0,nan,nan,3,0,1,10,0
28993493,1646740266375000,401540299,1162593687,49603,49603,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.01,0.01,-0.03,0.0,0,nan,nan,3,0,1,10,0
29493342,1646740266875000,401540304,1162593681,49574,49574,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.0,-0.03,0.01,0.0,0,nan,nan,3,0,1,10,0
30006202,1646740267385000,401540297,1162593688,49589,49589,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.03,0.01,-0.04,0.0,0,nan,nan,3,0,1,10,0
30505385,1646740267887000,401540302,1162593677,49588,49588,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.04,0.02,0.02,0.0,0,nan,nan,3,0,1,10,0
31009536,1646740268391000,401540304,1162593687,49565,49565,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.02,0.01,0.0,0.0,0,nan,nan,3,0,1,10,0
