timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
26049218,26045140,1310988,1310988,1.2128675e-05,-0.00031910877,-0.0003598624,0.00089623197,0.0016341979,-0.110168256,11349,11349,0,0
26053390,26049105,1310988,1310988,-0.00022296357,0.00023776118,-0.00010254499,-4.724134e-05,0.00050607783,-0.03915264,3965,3965,0,0
26549915,26549613,1310988,1310988,2.6642467e-05,-0.00012096893,-0.00028029137,-0.0006412025,0.00069565506,-0.03793327,4650,3900,0,0
27053536,27053363,1310988,1310988,7.0985145e-05,-4.486058e-05,6.876285e-05,-0.0011541084,0.0013623678,-0.03738259,4048,3899,0,0
27553881,27553707,1310988,1310988,0.00013471158,-0.00015100568,3.416651e-05,-0.00068233715,-0.0005611522,-0.03992907,4491,4092,0,0
28049595,28049422,1310988,1310988,-0.00016820975,0.00027263994,-0.0002574713,-0.0008118785,-0.0010437084,-0.03692698,3959,3908,0,0
28543046,28542880,1310988,1310988,2.4712781e-05,6.300636e-05,-0.00011998294,0.00013545522,-0.001661171,-0.11947924,1064,12562,0,0
29049313,29049137,1310988,1310988,6.2591193e-06,-0.00027624497,0.0001455631,9.648522e-05,-0.00096282386,-0.03590436,4046,3818,0,0
29549693,29549516,1310988,1310988,0.00023528317,0.00022268534,-0.0003194979,-0.00011834263,-0.0002799531,-0.037995294,4058,3936,0,0
30041575,30041402,1310988,1310988,-0.00026550033,0.00013214754,-7.2670984e-05,-0.00071846053,-0.0019814991,-0.102074355,4078,10349,0,0
30553622,30553445,1310988,1310988,-0.00020556568,0.000250963,0.00029879512,-0.0008632198,0.00041556562,-0.03853253,4179,3895,0,0
31053604,31053426,1310988,1310988,-0.00043710406,-0.00057388016,5.633239e-06,0.000388701,-0.00058141473,-0.038854893,4119,4086,0,0
31549772,31549592,1310988,1310988,0.0003159919,0.00026323908,-2.1504691e-05,-0.0006528315,-0.0006758856,-0.040200915,4063,4035,0,0
32049823,32049645,1310988,1310988,0.00012805939,-0.00030069277,-0.00023793921,0.00035020927,-0.00026413618,-0.03941707,4030,4028,0,0
32549619,32549444,1310988,1310988,-0.00019935952,7.832703e-05,-8.93283e-05,-0.0002793294,-0.00042415553,-0.039282616,3962,4001,0,0
33049836,33049660,1310988,1310988,2.1224803e-05,0.00012866213,-0.00013475385,-0.00033828837,-0.0016852146,-0.044979844,3847,4639,0,0
33547532,33547356,1310988,1310988,0.00029258092,-0.00092006393,9.373111e-05,-0.00021481529,-0.0013128963,-0.04055362,17589,4179,0,0
34049869,34049695,1310988,1310988,0.00023784315,-0.00035186976,0.0002829184,-4.6571895e-05,-0.0010540112,-0.075725876,4099,7520,0,0
34553807,34553628,1310988,1310988,-2.2096478e-05,0.00017394571,0.0001364254,0.0006556999,-0.00092823134,-0.041735575,4121,4214,0,0
35050182,35049955,1310988,1310988,7.627819e-05,-0.00013449533,1.6417662e-05,-0.00077188766,0.0008694938,-0.038314287,4228,3980,0,0
35549859,35549684,1310988,1310988,0.00018351943,-0.00032439438,0.00014665743,-0.000119189164,-1.9609972e-06,-0.039041735,4175,4005,0,0
36050010,36049835,1310988,1310988,-0.00016657925,-0.00019902397,-0.00016586126,0.0003307136,-0.00043322353,-0.03682975,4166,3783,0,0
36549891,36549718,1310988,1310988,-0.00012108029,0.00021513013,-8.4036474e-05,9.1572205e-05,0.0014529628,-0.03841806,4123,3874,0,0
37050036,37049861,1310988,1310988,-0.00029091345,0.00021511545,-0.00026357826,0.00011432211,-0.0004611951,-0.037185125,4264,3905,0,0
37550154,37549980,1310988,1310988,0.00018995763,-0.000158517,0.00042008888,0.00021187039,-0.0005557997,-0.041663807,4058,4076,0,0
38053828,38053654,1310988,1310988,-8.226377e-05,-0.00017801471,-9.2772934e-05,-0.00014841348,0.0003185468,-0.0409568,3942,4133,0,0
38549621,38549447,1310988,1310988,-0.00028930465,-0.00016555245,-0.00022875637,0.00018693529,-0.00017529337,-0.039824188,4115,3945,0,0
39049644,39049465,1310988,1310988,-3.443012e-05,-0.0002977091,-2.7050946e-05,-0.0004529459,-4.9662804e-06,-0.03606613,4052,3857,0,0
39550020,39549847,1310988,1310988,8.338512e-05,-0.0002822571,-0.00032996407,-0.0006670378,-0.00029990193,-0.03891251,3942,3905,0,0
40050194,40050019,1310988,1310988,0.00011341237,9.051858e-06,0.0002850985,0.0007074862,-0.0006444799,-0.038577404,4108,3892,0,0
40550103,40549926,1310988,1310988,0.0002188001,-5.16002e-05,-0.00027726183,0.0004673498,-9.663796e-05,-0.04006037,3983,3973,0,0
41050202,41049967,1310988,1310988,-8.819028e-05,-6.680018e-05,0.00032492814,-0.00082622597,-0.00092454307,-0.03924765,3915,3995,0,0
41550254,41550072,1310988,1310988,3.2987296e-06,-4.5732846e-05,8.4738276e-05,-0.0008593919,0.0002761162,-0.04073455,3980,4137,0,0
42050175,42050001,1310988,1310988,4.2195083e-05,-0.00021806611,0.0002190222,-8.274295e-05,-0.0002682987,-0.03890291,3864,4019,0,0
42550007,42549832,1310988,1310988,-0.00017489599,8.7513006e-05,0.0003448162,0.0010011725,-0.00032630764,-0.037825175,3983,3987,0,0
43049652,43049470,1310988,1310988,-7.682296e-05,-0.00012795381,0.00010309386,8.144824e-06,-0.00021836399,-0.03761695,3952,3995,0,0
43550219,43550038,1310988,1310988,1.3584933e-05,-0.00041130531,7.4850155e-05,-0.00021003534,0.00095169625,-0.040513642,3882,4007,0,0
44049550,44049377,1310988,1310988,-8.314526e-05,-0.0003304463,4.8449765e-05,-0.0010635628,-1.1152828e-06,-0.076881,4056,7932,0,0
44550190,44550008,1310988,1310988,0.00032459528,0.00010752714,0.00026774034,0.00053621206,-0.0010935726,-0.03950898,3987,4004,0,0
45053990,45053816,1310988,1310988,0.00033225032,-0.00042483633,0.0002317682,-0.00023311646,0.0008065708,-0.038202964,4485,3930,0,0
45550162,45549939,1310988,1310988,-8.130387e-05,6.465734e-05,-0.00016593636,0.0002949493,-0.0015315688,-0.03801243,3918,3920,0,0
46049672,46049492,1310988,1310988,0.0001668789,-0.00012020262,0.00022029161,-0.00025128783,0.0002742011,-0.03965044,3960,4036,0,0
46550568,46550393,1310988,1310988,4.9070743e-05,0.00013052601,0.00018595027,0.00033257986,0.0011013357,-0.044489503,4111,4390,0,0
47050307,47050130,1310988,1310988,0.00010598011,-0.00044807763,-6.0098137e-05,9.44176e-05,-0.0007838216,-0.036061607,4078,3763,0,0
47550667,47550485,1310988,1310988,-9.724388e-05,-5.744025e-05,0.00023665906,-0.00011815964,0.000340283,-0.048526365,4105,4569,0,0
48050220,48050037,1310988,1310988,-0.00048142287,9.182612e-05,0.00046093282,0.00079209486,-0.00031873243,-0.041099835,3890,3979,0,0
48550410,48550232,1310988,1310988,-1.0609018e-05,0.0003241045,6.683904e-05,0.0009767093,-0.00064895296,-0.039332926,4120,3989,0,0
49050487,49050311,1310988,1310988,0.00039095405,0.000866997,-2.4129326e-05,0.00010250548,0.0001322,-0.03703238,4174,3768,0,0
49550286,49550109,1310988,1310988,-0.00013503467,-0.000118067386,-0.00017680415,0.00041144545,-0.0013181615,-0.040613983,3722,4005,0,0
50050615,50050439,1310988,1310988,0.00023298191,9.850579e-05,0.00015833159,-0.00042559276,0.000823623,-0.042903237,4038,4208,0,0
50550291,50550110,1310988,1310988,0.00024766388,0.00017282764,0.00016301993,7.167091e-05,0.0005357589,-0.039219283,3985,3952,0,0
51050468,51050291,1310988,1310988,0.00037593098,0.000110490095,-6.442041e-05,3.5359477e-05,-0.00029424936,-0.040597852,3898,4179,0,0
51550761,51550581,1310988,1310988,0.00015492273,-9.630199e-05,-0.0001449606,-0.0021092782,-0.0014946834,-0.087759495,3977,8930,0,0
52050445,52050271,1310988,1310988,-0.0004084546,-0.000103850536,0.00027994518,-0.00032806915,0.0002638242,-0.038291752,4023,4025,0,0
52550555,52550382,1310988,1310988,-5.4139302e-05,-0.00031019267,3.7269605e-05,0.0003816601,-0.0014173252,-0.038414437,3879,3980,0,0
53050574,53050398,1310988,1310988,-5.6772944e-05,0.00048673636,-0.00012348717,-0.00020826494,4.2027175e-05,-0.037037186,3884,3994,0,0
53550423,53550248,1310988,1310988,-2.9923354e-05,-0.00014341422,-0.00016595818,-0.0014845607,-0.0010428294,-0.036746472,4064,3971,0,0
54050457,54050267,1310988,1310988,0.00035100788,-0.000656717,-0.00041673676,-0.0001028135,-0.0003366189,-0.038494244,3945,3954,0,0
