timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
1290774,inf,1,1,1,1,0,0,1,1,0,1
2290956,inf,1,1,1,1,0,0,1,1,0,1
3291163,inf,1,1,1,1,0,0,1,1,0,1
4291366,inf,1,1,1,1,0,0,1,1,0,1
5291540,inf,1,1,1,1,0,0,1,1,0,1
6291773,inf,1,1,1,1,0,0,1,1,0,1
7291945,inf,1,1,1,1,0,0,1,1,0,1
8292166,inf,1,1,1,1,0,0,1,1,0,1
9292415,inf,1,1,1,1,0,0,1,1,0,1
10292594,inf,1,1,1,1,0,0,1,1,0,1
11292853,inf,1,1,1,1,0,0,1,1,0,1
12293034,inf,1,1,1,1,0,0,1,1,0,1
13293243,inf,1,1,1,1,0,0,1,1,0,1
14293441,inf,1,1,1,1,0,0,1,1,0,1
15293624,inf,1,1,1,1,0,0,1,1,0,1
16293876,inf,1,1,1,1,0,0,1,1,0,1
17294046,inf,1,1,1,1,0,0,1,1,0,1
18294266,inf,1,1,1,1,0,0,1,1,0,1
19294711,inf,1,1,1,1,0,0,1,1,0,1
20294909,inf,1,1,1,1,0,0,1,1,0,1
21295127,inf,1,1,1,1,0,0,1,1,0,1
22295310,inf,1,1,1,1,0,0,1,1,0,1
23295488,inf,1,1,1,1,0,0,1,1,0,1
24295709,inf,1,1,1,1,0,0,1,1,0,1
25295935,inf,1,1,1,1,0,0,1,1,0,1
26096094,inf,0,1,1,1,0,0,1,1,0,1
27096316,inf,0,1,1,1,0,0,1,1,0,1
28105473,inf,0,1,1,1,0,0,1,0,0,1
29110241,inf,0,1,1,1,0,0,1,0,0,1
30131690,inf,0,1,1,1,0,0,1,0,0,1
31141984,inf,0,1,1,1,0,0,1,0,0,1
32149938,inf,0,1,1,1,0,0,1,0,0,1
33150234,inf,0,1,1,1,0,0,1,0,0,1
34154851,inf,0,1,1,1,0,0,1,0,0,1
35158719,inf,0,1,1,1,0,0,1,0,0,1
36166190,inf,0,1,1,1,0,0,1,0,0,1
37174872,inf,0,1,1,1,0,0,1,0,0,1
37790413,inf,0,1,1,1,1,1,1,0,0,1
38798414,inf,0,1,1,1,1,1,1,0,0,1
39798781,inf,0,1,1,1,1,1,1,0,0,1
40802829,inf,0,1,1,1,1,1,1,0,0,1
41807201,inf,0,1,1,1,1,1,1,0,0,1
42814519,inf,0,1,1,1,1,1,1,0,0,1
43822977,inf,0,1,1,1,1,1,1,0,0,1
44650811,inf,0,1,0,0,1,0,1,0,0,1
44659086,inf,0,0,0,0,1,0,1,0,0,1
45671393,inf,0,0,0,0,1,0,0,0,0,1
46679701,inf,0,0,0,0,1,0,0,0,0,1
47683036,inf,0,0,0,0,1,0,0,1,0,1
48694535,inf,0,0,0,0,1,0,0,1,0,1
49655126,inf,0,0,0,0,0,0,0,1,0,1
50655297,inf,0,0,0,0,0,0,0,1,0,1
51662886,inf,0,0,0,0,0,0,0,1,0,1
52667107,inf,0,0,0,0,0,0,0,1,0,1
53671158,inf,0,0,0,0,0,0,0,1,0,1
54679443,inf,0,0,0,0,0,0,0,1,0,1
55683545,inf,0,0,0,0,0,0,0,1,0,1
56687357,inf,0,0,0,0,0,0,0,1,0,1
57692599,inf,0,0,0,0,0,0,0,1,0,1
58703409,inf,0,0,0,0,0,0,0,1,0,1
59711607,inf,0,0,0,0,0,0,0,1,0,1
60719571,inf,0,0,0,0,0,0,0,1,0,1
61727043,inf,0,0,0,0,0,0,0,1,0,1
62730821,inf,0,0,0,0,0,0,0,1,0,1
63731599,inf,0,0,0,0,0,0,0,1,0,1
64731872,inf,0,0,0,0,0,0,0,1,0,1
65732260,inf,0,0,0,0,0,0,0,1,0,1
66735989,inf,0,0,0,0,0,0,0,1,0,1
67747584,inf,0,0,0,0,0,0,0,1,0,1
68755429,inf,0,0,0,0,0,0,0,1,0,1
69755908,inf,0,0,0,0,0,0,0,1,0,1
70768278,inf,0,0,0,0,0,0,0,1,0,1
71776131,inf,0,0,0,0,0,0,0,1,0,1
72777462,inf,0,0,0,0,0,0,0,0,1,1
73780163,inf,0,0,0,0,0,0,0,0,1,1
74789154,inf,0,0,0,0,0,0,0,0,1,1
75793637,inf,0,0,0,0,0,0,0,0,1,1
76796083,inf,0,0,0,0,0,0,0,0,1,1
77796175,inf,0,0,0,0,0,0,0,0,1,1
78808463,inf,0,0,0,0,0,0,0,0,1,1
79816471,inf,0,0,0,0,0,0,0,0,1,1
80820587,inf,0,0,0,0,0,0,0,0,1,1
81828143,inf,0,0,0,0,0,0,0,0,1,1
82832319,inf,0,0,0,0,0,0,0,0,1,1
83836695,inf,0,0,0,0,0,0,0,0,1,1
84836752,inf,0,0,0,0,0,0,0,0,1,1
85844089,inf,0,0,0,0,0,0,0,0,1,1
86852345,inf,0,0,0,0,0,0,0,0,1,1
87856606,inf,0,0,0,0,0,0,0,0,1,1
88864359,inf,0,0,0,0,0,0,0,0,1,1
89868349,inf,0,0,0,0,0,0,0,0,1,1
90872019,inf,0,0,0,0,0,0,0,0,1,1
91880783,inf,0,0,0,0,0,0,0,0,1,1
92884806,inf,0,0,0,0,0,0,0,0,1,1
93889223,inf,0,0,0,0,0,0,0,0,1,1
94893078,inf,0,0,0,0,0,0,0,0,1,1
95897438,inf,0,0,0,0,0,0,0,0,1,1
96909275,inf,0,0,0,0,0,0,0,0,1,1
97916635,inf,0,0,0,0,0,0,0,0,1,1
98929568,inf,0,0,0,0,0,0,0,0,1,1
99930182,inf,0,0,0,0,0,0,0,0,1,1
100934474,inf,0,0,0,0,0,0,0,0,1,1
101942273,inf,0,0,0,0,0,0,0,0,1,1
102953990,inf,0,0,0,0,0,0,0,0,1,1
103956742,inf,0,0,0,0,0,0,0,0,1,1
104961131,inf,0,0,0,0,0,0,0,0,1,1
105961231,inf,0,0,0,0,0,0,0,0,1,1
106968754,inf,0,0,0,0,0,0,0,0,1,1
107969924,inf,0,0,0,0,0,0,0,0,1,1
108981407,inf,0,0,0,0,0,0,0,0,1,1
109985353,inf,0,0,0,0,0,0,0,0,1,1
110989814,inf,0,0,0,0,0,0,0,0,1,1
111993147,inf,0,0,0,0,0,0,0,0,1,1
112997353,inf,0,0,0,0,0,0,0,0,1,1
114000971,inf,0,0,0,0,0,0,0,0,1,1
115010055,inf,0,0,0,0,0,0,0,0,1,1
116014076,inf,0,0,0,0,0,0,0,1,1,1
117019164,inf,0,0,0,0,0,0,0,1,1,1
118030459,inf,0,0,0,0,0,0,0,1,1,1
119034379,inf,0,0,0,0,0,0,0,1,1,1
120039466,inf,0,0,0,0,0,0,0,1,1,1
121042374,inf,0,0,0,0,0,0,0,1,1,1
122051599,inf,0,0,0,0,0,0,0,1,0,1
123059350,inf,0,0,0,0,0,0,0,0,0,1
124067350,inf,0,0,0,0,0,0,0,1,0,1
125071590,inf,0,0,0,0,0,0,0,1,0,1
126078627,inf,0,0,0,0,0,0,0,1,0,1
127082211,inf,0,0,0,0,0,0,0,1,1,1
128083425,inf,0,0,0,0,0,0,0,1,1,1
129086126,inf,0,0,0,0,0,0,0,1,1,1
130090126,inf,0,0,0,0,0,0,0,1,1,1
131091011,inf,0,0,0,0,0,0,0,1,1,1
132097804,inf,0,0,0,0,0,0,0,1,1,1
133097943,inf,0,0,0,0,0,0,0,1,1,1
134106458,inf,0,0,0,0,0,0,0,1,1,1
135114800,inf,0,0,0,0,0,0,0,1,1,1
136118150,inf,0,0,0,0,0,0,0,1,1,1
137124091,inf,0,0,0,0,0,0,0,1,1,1
138127533,inf,0,0,0,0,0,0,0,1,1,1
139135034,inf,0,0,0,0,0,0,0,1,1,1
140139357,inf,0,0,0,0,0,0,0,0,1,1
