timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
1685299,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2188358,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2695299,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3202299,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3709300,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4216332,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4723298,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5230301,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5737300,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6244298,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6751298,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7258300,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7765363,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8272299,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8779300,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9286299,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9793299,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10300301,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10807299,673265,0,0,0,270565408,268533772,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11314303,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11821300,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12328302,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12835301,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13342360,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13849299,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14356300,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14863304,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15370298,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15877299,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
16384299,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
16891299,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
17398299,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
17905300,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
18412303,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
18919358,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
19426303,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
19933302,673265,0,0,0,270565408,270630924,32800,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
